ANAGRAFICA GIOCATORI,,,,,,,,,,
,,,,,,,,,,
Membership_Number,Display_Name,TCG,First_Seen,Last_Seen,Total_Tournaments,Tournament_Wins,Match_W,Match_T,Match_L,Total_Points_Lifetime
0000110798,Blund,OP,2025-06-19,2025-11-13,15,5,49,,,247
0000235238,Pietro88,OP,2025-06-19,2025-10-30,9,0,25,,,124
0000189638,Speedroop ,OP,2025-06-19,2025-10-30,15,1,42,,,204
0000049228,[SPNV] Jeagerjack,OP,2025-06-19,2025-10-30,6,3,22,,,116
0000138010,PerruX,OP,2025-06-19,2025-10-30,16,2,41,,,209
0000207592,Matteviga,OP,2025-06-19,2025-11-13,15,2,46,,,237
0000475097,Dige,OP,2025-06-19,2025-11-13,18,0,45,,,222
0000162634,[SPNV] Bala,OP,2025-06-19,2025-09-25,7,0,19,,,100
0000099126,[SPNV] Astral,OP,2025-06-19,2025-07-10,4,0,10,,,56
0000569295,Grimmjoow,OP,2025-06-19,2025-08-07,8,0,16,,,78
0000134640,Commo,OP,2025-06-19,2025-11-13,10,0,23,,,128
0000047891,Pedru99,OP,2025-06-19,2025-09-11,2,0,4,,,19
0000522894,AnD.reAda,OP,2025-06-19,2025-10-30,15,0,37,,,198
0000166660,Mellow,OP,2025-06-19,2025-11-13,18,2,44,,,215
0000203688,Lorbag99,OP,2025-06-19,2025-11-13,16,0,39,,,194
0000518963,Myrta,OP,2025-06-19,2025-10-30,9,0,14,,,58
0000050255,AngiStrife,OP,2025-06-19,2025-06-12,3,0,6,,,29
0000118859,Fidio,OP,2025-06-19,2025-11-13,4,1,10,,,43
0000272560,Luirusco,OP,2025-06-19,2025-06-12,3,0,4,,,16
0000263458,xGoldron98x,OP,2025-06-19,2025-10-23,4,0,6,,,26
0000453763,Iclaf,OP,2025-06-26,2025-11-13,10,1,28,,,136
0000369844,Nicosabbia,OP,2025-06-26,2025-10-30,6,1,16,,,78
0000455271,Naffy,OP,2025-06-26,2025-11-13,10,0,20,,,93
0000546707,Gire11,OP,2025-06-26,2025-07-03,2,0,4,,,14
0000040654,butti0017,OP,2025-06-26,2025-10-02,5,0,4,,,20
0000130102,[SPNV] Kekko-Lione,OP,2025-06-26,2025-10-30,6,0,9,,,50
0000448187,Gallo,OP,2025-06-26,2025-11-13,8,0,9,,,37
0000514629,Fleorio,OP,2025-06-12,2025-06-12,1,0,3,,,13
0000163876,Barbattack,OP,2025-06-12,2025-09-18,4,0,6,,,31
0000569500,KimboDave93 ,OP,2025-07-03,2025-10-30,6,0,12,,,62
0000127213,sArnautovic,OP,2025-07-03,2025-11-13,15,0,20,,,92
0000188071,Gamble923,OP,2025-07-03,2025-07-03,1,0,1,,,3
0000583423,FUMA10,OP,2025-07-10,2025-08-07,4,0,7,,,32
0000519246,Papo,OP,2025-07-24,2025-10-23,3,0,7,,,43
0000532430,offddanii,OP,2025-07-24,2025-08-07,2,0,4,,,18
0000310604,Nachos Grinder,OP,2025-07-24,2025-07-24,1,0,1,,,3
0000556527,SilvioPio ,OP,2025-07-24,2025-07-24,1,0,0,,,1
0000369846,Panz,OP,2025-07-31,2025-07-31,1,0,2,,,11
0000561448,Catta,OP,2025-07-31,2025-11-13,4,0,4,,,18
0000457699,Giomaica,OP,2025-08-07,2025-08-07,1,0,2,,,10
0000098090,Marcopizza96,OP,2025-08-07,2025-10-23,2,0,2,,,8
0000047796,Jack Di Spade,OP,2025-09-11,2025-09-11,1,0,3,,,17
0000593434,Ghostsaibot,OP,2025-09-11,2025-09-11,1,0,0,,,1
0000503284,Darth_tia,OP,2025-10-30,2025-10-30,1,0,0,,,1
0004821843,Matteo Scarinzi,2025-09-24,2025-09-24,1,0,0,0,,,
0005234880,Mattia Vidal,2025-09-24,2025-09-24,1,0,0,0,,,
0005190946,Federico Nitto,2025-09-24,2025-09-24,1,0,0,0,,,
0002739959,Luca Binda,2025-09-24,2025-09-24,1,0,0,0,,,
0004823435,Alessandro Dozio,2025-09-24,2025-09-24,1,0,0,0,,,
0004733183,Gabriele Ottolini,2025-09-24,2025-09-24,1,0,0,0,,,
0004777408,Federico Viganò,2025-09-24,2025-09-24,1,0,0,0,,,
0005178816,Davide Vicini,2025-09-24,2025-09-24,1,0,0,0,,,
0005118219,Pietro Colombo,2025-09-24,2025-09-24,1,0,0,0,,,
0005209399,Massimo Canepari,2025-09-24,2025-09-24,1,0,0,0,,,
0005038243,Sofia Mottarella,2025-09-24,2025-09-24,1,0,0,0,,,